Company,Contract Type,Clause,Content,Embedding Shape
"Donaldson, Barber and Long",CA,confidentiality,Confidentiality,"torch.Size([1, 768])"
"Donaldson, Barber and Long",CA,liability cap,Liability Cap,"torch.Size([1, 768])"
"Donaldson, Barber and Long",CA,payment terms,Payment Terms,"torch.Size([1, 768])"
Price-Brown,CDA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Price-Brown,CDA,confidentiality,The Receiving Party will make commercially reasonable efforts to ensure confidentiality of the shared,"torch.Size([1, 768])"
Price-Brown,CA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Price-Brown,CA,confidentiality,The Consultant will bear full liability for any instances of gross negligence or breaches of confidentiality.,"torch.Size([1, 768])"
Price-Brown,CA,liability cap,Liability Cap,"torch.Size([1, 768])"
Price-Brown,CA,payment terms,Payment Terms,"torch.Size([1, 768])"
Daniel-Young,WO,confidentiality,Confidentiality,"torch.Size([1, 768])"
Daniel-Young,WO,confidentiality,The Receiving Party shall use reasonable efforts to maintain confidentiality of shared information.,"torch.Size([1, 768])"
Daniel-Young,WO,payment terms,Payment Terms,"torch.Size([1, 768])"
Daniel-Young,CA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Daniel-Young,CA,liability cap,Liability Cap,"torch.Size([1, 768])"
Daniel-Young,CA,payment terms,Payment Terms,"torch.Size([1, 768])"
Rose-Allen,CA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Rose-Allen,CA,confidentiality,"The Consultant’s liability is unlimited in cases of gross negligence, willful misconduct, or confidentiality","torch.Size([1, 768])"
Rose-Allen,CA,liability cap,Liability Cap,"torch.Size([1, 768])"
Rose-Allen,CA,payment terms,Payment Terms,"torch.Size([1, 768])"
Rose-Allen,WO,confidentiality,Confidentiality,"torch.Size([1, 768])"
Rose-Allen,WO,payment terms,Payment Terms,"torch.Size([1, 768])"
Rose-Allen,MSA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Rose-Allen,MSA,confidentiality,The Consultant will bear full liability for any instances of gross negligence or breaches of confidentiality.,"torch.Size([1, 768])"
Rose-Allen,MSA,liability cap,Liability Cap,"torch.Size([1, 768])"
Rose-Allen,MSA,payment terms,Payment Terms,"torch.Size([1, 768])"
Hanson-Meza,WO,confidentiality,Confidentiality,"torch.Size([1, 768])"
Hanson-Meza,WO,confidentiality,The Receiving Party shall use reasonable efforts to maintain confidentiality of shared information.,"torch.Size([1, 768])"
Hanson-Meza,WO,payment terms,Payment Terms,"torch.Size([1, 768])"
Hanson-Meza,CDA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Hanson-Meza,CDA,confidentiality,The Receiving Party shall use reasonable efforts to maintain confidentiality of shared information.,"torch.Size([1, 768])"
Hanson-Meza,CDA,liability cap,Liability Cap,"torch.Size([1, 768])"
Villanueva Group,CA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Villanueva Group,CA,confidentiality,The Receiving Party will make commercially reasonable efforts to ensure confidentiality of the shared,"torch.Size([1, 768])"
Villanueva Group,CA,confidentiality,"The Consultant’s liability is unlimited in cases of gross negligence, willful misconduct, or confidentiality","torch.Size([1, 768])"
Villanueva Group,CA,liability cap,Liability Cap,"torch.Size([1, 768])"
Villanueva Group,CA,payment terms,Payment Terms,"torch.Size([1, 768])"
Villanueva Group,WO,confidentiality,Confidentiality,"torch.Size([1, 768])"
Villanueva Group,WO,payment terms,Payment Terms,"torch.Size([1, 768])"
"Williams, Miller and Bell",WO,confidentiality,Confidentiality,"torch.Size([1, 768])"
"Williams, Miller and Bell",WO,payment terms,Payment Terms,"torch.Size([1, 768])"
Heath-Dalton,CA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Heath-Dalton,CA,confidentiality,"The Consultant’s liability is unlimited in cases of gross negligence, willful misconduct, or confidentiality","torch.Size([1, 768])"
Heath-Dalton,CA,liability cap,Liability Cap,"torch.Size([1, 768])"
Heath-Dalton,CA,payment terms,Payment Terms,"torch.Size([1, 768])"
Heath-Dalton,CDA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Heath-Dalton,WO,confidentiality,Confidentiality,"torch.Size([1, 768])"
Heath-Dalton,WO,payment terms,Payment Terms,"torch.Size([1, 768])"
Johnson and Sons,MSA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Johnson and Sons,MSA,liability cap,Liability Cap,"torch.Size([1, 768])"
Johnson and Sons,MSA,payment terms,Payment Terms,"torch.Size([1, 768])"
Johnson and Sons,WO,confidentiality,Confidentiality,"torch.Size([1, 768])"
Johnson and Sons,WO,payment terms,Payment Terms,"torch.Size([1, 768])"
Mathis Inc,MSA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Mathis Inc,MSA,confidentiality,The Receiving Party will make commercially reasonable efforts to ensure confidentiality of the shared,"torch.Size([1, 768])"
Mathis Inc,MSA,confidentiality,"The Consultant’s liability is unlimited in cases of gross negligence, willful misconduct, or confidentiality","torch.Size([1, 768])"
Mathis Inc,MSA,liability cap,Liability Cap,"torch.Size([1, 768])"
Mathis Inc,MSA,payment terms,Payment Terms,"torch.Size([1, 768])"
Mathis Inc,CA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Mathis Inc,CA,confidentiality,The Receiving Party will make commercially reasonable efforts to ensure confidentiality of the shared,"torch.Size([1, 768])"
Mathis Inc,CA,liability cap,Liability Cap,"torch.Size([1, 768])"
Mathis Inc,CA,payment terms,Payment Terms,"torch.Size([1, 768])"
Mathis Inc,WO,confidentiality,Confidentiality,"torch.Size([1, 768])"
Mathis Inc,WO,confidentiality,The Receiving Party will make commercially reasonable efforts to ensure confidentiality of the shared,"torch.Size([1, 768])"
Mathis Inc,WO,payment terms,Payment Terms,"torch.Size([1, 768])"
Nunez and Sons,WO,confidentiality,Confidentiality,"torch.Size([1, 768])"
Nunez and Sons,WO,confidentiality,The Receiving Party shall maintain the confidentiality of all disclosed proprietary information and limit,"torch.Size([1, 768])"
Nunez and Sons,WO,payment terms,Payment Terms,"torch.Size([1, 768])"
Nunez and Sons,CA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Nunez and Sons,CA,confidentiality,The Receiving Party shall maintain the confidentiality of all disclosed proprietary information and limit,"torch.Size([1, 768])"
Nunez and Sons,CA,liability cap,Liability Cap,"torch.Size([1, 768])"
Nunez and Sons,CA,payment terms,Payment Terms,"torch.Size([1, 768])"
Nunez and Sons,CDA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Nunez and Sons,MSA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Nunez and Sons,MSA,confidentiality,The Receiving Party shall maintain the confidentiality of all disclosed proprietary information and limit,"torch.Size([1, 768])"
Nunez and Sons,MSA,liability cap,Liability Cap,"torch.Size([1, 768])"
Nunez and Sons,MSA,payment terms,Payment Terms,"torch.Size([1, 768])"
Brewer and Sons,CA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Brewer and Sons,CA,confidentiality,The Receiving Party shall use reasonable efforts to maintain confidentiality of shared information.,"torch.Size([1, 768])"
Brewer and Sons,CA,liability cap,Liability Cap,"torch.Size([1, 768])"
Brewer and Sons,CA,payment terms,Payment Terms,"torch.Size([1, 768])"
Brewer and Sons,WO,confidentiality,Confidentiality,"torch.Size([1, 768])"
Brewer and Sons,WO,confidentiality,Both Parties shall maintain the confidentiality of all proprietary information shared during this,"torch.Size([1, 768])"
Brewer and Sons,WO,payment terms,Payment Terms,"torch.Size([1, 768])"
"Marquez, Carter and Scott",WO,confidentiality,Confidentiality,"torch.Size([1, 768])"
"Marquez, Carter and Scott",WO,confidentiality,The Receiving Party shall maintain the confidentiality of all disclosed proprietary information and limit,"torch.Size([1, 768])"
"Marquez, Carter and Scott",WO,payment terms,Payment Terms,"torch.Size([1, 768])"
"Marquez, Carter and Scott",CA,confidentiality,Confidentiality,"torch.Size([1, 768])"
"Marquez, Carter and Scott",CA,confidentiality,The Receiving Party shall maintain the confidentiality of all disclosed proprietary information and limit,"torch.Size([1, 768])"
"Marquez, Carter and Scott",CA,liability cap,Liability Cap,"torch.Size([1, 768])"
"Marquez, Carter and Scott",CA,payment terms,Payment Terms,"torch.Size([1, 768])"
Scott PLC,WO,confidentiality,Confidentiality,"torch.Size([1, 768])"
Scott PLC,WO,confidentiality,The Receiving Party shall use reasonable efforts to maintain confidentiality of shared information.,"torch.Size([1, 768])"
Scott PLC,WO,payment terms,Payment Terms,"torch.Size([1, 768])"
Scott PLC,CDA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Scott PLC,CDA,liability cap,Liability Cap,"torch.Size([1, 768])"
"Wilson, Baker and Harmon",CDA,confidentiality,Confidentiality,"torch.Size([1, 768])"
"Wilson, Baker and Harmon",CDA,confidentiality,The Receiving Party shall use reasonable efforts to maintain confidentiality of shared information.,"torch.Size([1, 768])"
"Wilson, Baker and Harmon",CDA,liability cap,Liability Cap,"torch.Size([1, 768])"
"Wilson, Baker and Harmon",MSA,confidentiality,Confidentiality,"torch.Size([1, 768])"
"Wilson, Baker and Harmon",MSA,confidentiality,The Receiving Party shall use reasonable efforts to maintain confidentiality of shared information.,"torch.Size([1, 768])"
"Wilson, Baker and Harmon",MSA,liability cap,Liability Cap,"torch.Size([1, 768])"
"Wilson, Baker and Harmon",MSA,payment terms,Payment Terms,"torch.Size([1, 768])"
"Wilson, Baker and Harmon",WO,confidentiality,Confidentiality,"torch.Size([1, 768])"
"Wilson, Baker and Harmon",WO,confidentiality,The Receiving Party shall use reasonable efforts to maintain confidentiality of shared information.,"torch.Size([1, 768])"
"Wilson, Baker and Harmon",WO,payment terms,Payment Terms,"torch.Size([1, 768])"
"Graham, Solomon and Brown",CA,confidentiality,Confidentiality,"torch.Size([1, 768])"
"Graham, Solomon and Brown",CA,liability cap,Liability Cap,"torch.Size([1, 768])"
"Graham, Solomon and Brown",CA,payment terms,Payment Terms,"torch.Size([1, 768])"
"Richardson, Frost and Gonzalez",MSA,confidentiality,Confidentiality,"torch.Size([1, 768])"
"Richardson, Frost and Gonzalez",MSA,liability cap,Liability Cap,"torch.Size([1, 768])"
"Richardson, Frost and Gonzalez",MSA,payment terms,Payment Terms,"torch.Size([1, 768])"
"Richardson, Frost and Gonzalez",WO,confidentiality,Confidentiality,"torch.Size([1, 768])"
"Richardson, Frost and Gonzalez",WO,confidentiality,Both Parties shall maintain the confidentiality of all proprietary information shared during this,"torch.Size([1, 768])"
"Richardson, Frost and Gonzalez",WO,payment terms,Payment Terms,"torch.Size([1, 768])"
"Richardson, Frost and Gonzalez",CA,confidentiality,Confidentiality,"torch.Size([1, 768])"
"Richardson, Frost and Gonzalez",CA,confidentiality,Both Parties shall maintain the confidentiality of all proprietary information shared during this,"torch.Size([1, 768])"
"Richardson, Frost and Gonzalez",CA,liability cap,Liability Cap,"torch.Size([1, 768])"
"Richardson, Frost and Gonzalez",CA,payment terms,Payment Terms,"torch.Size([1, 768])"
Pace-Livingston,MSA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Pace-Livingston,MSA,confidentiality,The Receiving Party shall use reasonable efforts to maintain confidentiality of shared information.,"torch.Size([1, 768])"
Pace-Livingston,MSA,liability cap,Liability Cap,"torch.Size([1, 768])"
Pace-Livingston,MSA,payment terms,Payment Terms,"torch.Size([1, 768])"
Pace-Livingston,WO,confidentiality,Confidentiality,"torch.Size([1, 768])"
Pace-Livingston,WO,payment terms,Payment Terms,"torch.Size([1, 768])"
Pace-Livingston,CA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Pace-Livingston,CA,confidentiality,Both Parties shall maintain the confidentiality of all proprietary information shared during this,"torch.Size([1, 768])"
Pace-Livingston,CA,liability cap,Liability Cap,"torch.Size([1, 768])"
Pace-Livingston,CA,payment terms,Payment Terms,"torch.Size([1, 768])"
Washington LLC,MSA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Washington LLC,MSA,confidentiality,The Receiving Party shall use reasonable efforts to maintain confidentiality of shared information.,"torch.Size([1, 768])"
Washington LLC,MSA,liability cap,Liability Cap,"torch.Size([1, 768])"
Washington LLC,MSA,payment terms,Payment Terms,"torch.Size([1, 768])"
Washington LLC,WO,confidentiality,Confidentiality,"torch.Size([1, 768])"
Washington LLC,WO,payment terms,Payment Terms,"torch.Size([1, 768])"
Washington LLC,CA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Washington LLC,CA,confidentiality,The Receiving Party shall use reasonable efforts to maintain confidentiality of shared information.,"torch.Size([1, 768])"
Washington LLC,CA,liability cap,Liability Cap,"torch.Size([1, 768])"
Washington LLC,CA,payment terms,Payment Terms,"torch.Size([1, 768])"
Chapman Ltd,CA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Chapman Ltd,CA,liability cap,Liability Cap,"torch.Size([1, 768])"
Chapman Ltd,CA,payment terms,Payment Terms,"torch.Size([1, 768])"
Chapman Ltd,MSA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Chapman Ltd,MSA,confidentiality,"The Consultant’s liability is unlimited in cases of gross negligence, willful misconduct, or confidentiality","torch.Size([1, 768])"
Chapman Ltd,MSA,liability cap,Liability Cap,"torch.Size([1, 768])"
Chapman Ltd,MSA,payment terms,Payment Terms,"torch.Size([1, 768])"
Chapman Ltd,WO,confidentiality,Confidentiality,"torch.Size([1, 768])"
Chapman Ltd,WO,payment terms,Payment Terms,"torch.Size([1, 768])"
Gould-Torres,MSA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Gould-Torres,MSA,confidentiality,The Receiving Party will make commercially reasonable efforts to ensure confidentiality of the shared,"torch.Size([1, 768])"
Gould-Torres,MSA,liability cap,Liability Cap,"torch.Size([1, 768])"
Gould-Torres,MSA,payment terms,Payment Terms,"torch.Size([1, 768])"
Morgan Group,WO,confidentiality,Confidentiality,"torch.Size([1, 768])"
Morgan Group,WO,confidentiality,Both Parties shall maintain the confidentiality of all proprietary information shared during this,"torch.Size([1, 768])"
Morgan Group,WO,payment terms,Payment Terms,"torch.Size([1, 768])"
Morgan Group,CDA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Morgan Group,CDA,liability cap,Liability Cap,"torch.Size([1, 768])"
Morgan Group,CA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Morgan Group,CA,confidentiality,Both Parties shall maintain the confidentiality of all proprietary information shared during this,"torch.Size([1, 768])"
Morgan Group,CA,liability cap,Liability Cap,"torch.Size([1, 768])"
Morgan Group,CA,payment terms,Payment Terms,"torch.Size([1, 768])"
Larson PLC,CA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Larson PLC,CA,confidentiality,The Receiving Party shall use reasonable efforts to maintain confidentiality of shared information.,"torch.Size([1, 768])"
Larson PLC,CA,liability cap,Liability Cap,"torch.Size([1, 768])"
Larson PLC,CA,payment terms,Payment Terms,"torch.Size([1, 768])"
Larson PLC,CDA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Larson PLC,CDA,liability cap,Liability Cap,"torch.Size([1, 768])"
Larson PLC,WO,confidentiality,Confidentiality,"torch.Size([1, 768])"
Larson PLC,WO,confidentiality,Both Parties shall maintain the confidentiality of all proprietary information shared during this,"torch.Size([1, 768])"
Larson PLC,WO,payment terms,Payment Terms,"torch.Size([1, 768])"
Phillips-Harris,CDA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Phillips-Harris,CDA,confidentiality,The Receiving Party shall use reasonable efforts to maintain confidentiality of shared information.,"torch.Size([1, 768])"
Phillips-Harris,CDA,liability cap,Liability Cap,"torch.Size([1, 768])"
"Huffman, Thompson and Gregory",CDA,confidentiality,Confidentiality,"torch.Size([1, 768])"
"Huffman, Thompson and Gregory",CDA,confidentiality,The Receiving Party shall use reasonable efforts to maintain confidentiality of shared information.,"torch.Size([1, 768])"
"Huffman, Thompson and Gregory",CDA,liability cap,Liability Cap,"torch.Size([1, 768])"
Warner-Ortiz,CA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Warner-Ortiz,CA,liability cap,Liability Cap,"torch.Size([1, 768])"
Warner-Ortiz,CA,payment terms,Payment Terms,"torch.Size([1, 768])"
Warner-Ortiz,CDA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Warner-Ortiz,WO,confidentiality,Confidentiality,"torch.Size([1, 768])"
Warner-Ortiz,WO,payment terms,Payment Terms,"torch.Size([1, 768])"
"Carter, Fischer and Bentley",WO,confidentiality,Confidentiality,"torch.Size([1, 768])"
"Carter, Fischer and Bentley",WO,payment terms,Payment Terms,"torch.Size([1, 768])"
"Carter, Fischer and Bentley",MSA,confidentiality,Confidentiality,"torch.Size([1, 768])"
"Carter, Fischer and Bentley",MSA,liability cap,Liability Cap,"torch.Size([1, 768])"
"Carter, Fischer and Bentley",MSA,payment terms,Payment Terms,"torch.Size([1, 768])"
"Medina, Rosales and Gutierrez",CDA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Alexander Inc,WO,confidentiality,Confidentiality,"torch.Size([1, 768])"
Alexander Inc,WO,confidentiality,The Receiving Party shall maintain the confidentiality of all disclosed proprietary information and limit,"torch.Size([1, 768])"
Alexander Inc,WO,payment terms,Payment Terms,"torch.Size([1, 768])"
Alexander Inc,CDA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Alexander Inc,CDA,confidentiality,The Receiving Party will make commercially reasonable efforts to ensure confidentiality of the shared,"torch.Size([1, 768])"
Alexander Inc,MSA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Alexander Inc,MSA,liability cap,Liability Cap,"torch.Size([1, 768])"
Alexander Inc,MSA,payment terms,Payment Terms,"torch.Size([1, 768])"
"Henry, Lee and Hill",CA,confidentiality,Confidentiality,"torch.Size([1, 768])"
"Henry, Lee and Hill",CA,confidentiality,Both Parties shall maintain the confidentiality of all proprietary information shared during this,"torch.Size([1, 768])"
"Henry, Lee and Hill",CA,liability cap,Liability Cap,"torch.Size([1, 768])"
"Henry, Lee and Hill",CA,payment terms,Payment Terms,"torch.Size([1, 768])"
